iter	RMSE
0	1.60657925
1	1.590807237
2	1.578065909
3	1.569358873
4	1.560887773
5	1.553414457
6	1.545266879
7	1.538507309
8	1.529787497
9	1.525653362
10	1.521132971
11	1.51738717
12	1.513282786
13	1.509191938
14	1.506369628
15	1.503808086
16	1.5002625
17	1.496940608
18	1.494213096
19	1.491234341
20	1.489032286
21	1.486064916
22	1.483819914
23	1.481577867
24	1.480092436
25	1.477446358
26	1.47523363
27	1.473074741
28	1.470864888
29	1.470003807
30	1.468512303
31	1.46672212
32	1.464672344
33	1.463438581
34	1.462028147
35	1.45972662
36	1.458454773
37	1.45730049
38	1.456266712
39	1.454678294
40	1.453655878
41	1.452725921
42	1.451102731
43	1.450258446
44	1.448591806
45	1.447236987
46	1.446529729
47	1.444884539
48	1.444200661
49	1.442200041
50	1.440976133
51	1.439836666
52	1.439107367
53	1.437934899
54	1.437192783
55	1.436173919
56	1.434706932
57	1.433941764
58	1.432928288
59	1.431718734
60	1.430791181
61	1.429659886
62	1.42882686
63	1.426939126
64	1.42596204
65	1.425381706
66	1.424130429
67	1.423660889
68	1.423113939
69	1.42270061
70	1.421762882
71	1.420977416
72	1.419703781
73	1.419048855
74	1.418419916
75	1.41763572
76	1.417043471
77	1.416067036
78	1.415299768
79	1.414370168
80	1.413063358
81	1.412127633
82	1.410960964
83	1.410412055
84	1.409535954
85	1.408491758
86	1.407334476
87	1.40642729
88	1.404694646
89	1.404105591
90	1.402811467
91	1.401784954
92	1.400513521
93	1.39939
94	1.398751471
95	1.397154534
96	1.396255542
97	1.395699677
98	1.394924454
99	1.394467927
