iter	Passed	Remaining
0	165	16365
1	172	8435
2	179	5804
3	184	4439
4	190	3622
5	195	3064
6	199	2653
7	203	2345
8	207	2101
9	211	1904
10	215	1743
11	219	1607
12	223	1493
13	226	1392
14	230	1305
15	234	1231
16	238	1162
17	241	1100
18	244	1043
19	248	992
20	251	947
21	255	905
22	258	866
23	262	830
24	265	797
25	269	766
26	272	737
27	276	710
28	279	684
29	282	659
30	285	636
31	289	614
32	292	593
33	295	573
34	298	554
35	302	536
36	305	519
37	308	502
38	311	486
39	314	472
40	318	457
41	321	443
42	324	430
43	327	417
44	331	405
45	334	393
46	338	381
47	341	369
48	344	358
49	347	347
50	350	337
51	354	327
52	357	316
53	360	307
54	364	297
55	367	289
56	371	280
57	374	271
58	378	262
59	381	254
60	384	245
61	388	237
62	391	229
63	394	222
64	398	214
65	401	206
66	404	199
67	407	191
68	410	184
69	414	177
70	417	170
71	420	163
72	423	156
73	426	149
74	429	143
75	433	136
76	435	130
77	439	123
78	442	117
79	445	111
80	449	105
81	452	99
82	455	93
83	458	87
84	461	81
85	464	75
86	467	69
87	470	64
88	474	58
89	477	53
90	480	47
91	483	42
92	487	36
93	490	31
94	493	25
95	496	20
96	500	15
97	503	10
98	506	5
99	510	0
